flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(17, '10.221.8.170', 53, '10.221.8.53', 50265)",2,218,0.1882050037384033,109.0,37.0,72,146,0.1882050037384033,0.0,0.3302752293577982,2,1.0,1158.311392735394,10.626710025095358,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 64532)",2,218,0.1880030632019043,109.0,37.0,72,146,0.1880030632019043,0.0,0.3302752293577982,2,1.0,1159.5555747189117,10.638124538705611,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 58651)",2,434,0.0896229743957519,217.0,145.0,72,362,0.0896229743957519,0.0,0.1658986175115207,1,2.0,4842.508329209962,22.315706586221022,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.53', 62321, '142.250.205.142', 443)",21,8313,0.3168530464172363,395.8571428571428,474.6769614033051,52,1278,0.0158426523208618,0.0358332908545585,0.4147720437868399,3,7.0,26236.137206184,66.27678110548105,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 54249)",2,219,0.0273740291595459,109.5,43.5,66,153,0.0273740291595459,0.0,0.3013698630136986,1,2.0,8000.283725993991,73.06195183556156,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 60996)",2,202,0.005295991897583,101.0,35.0,66,136,0.005295991897583,0.0,0.3267326732673267,1,2.0,38142.05231170936,377.6440822941521,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 60121)",2,178,0.0265150070190429,89.0,23.0,66,112,0.0265150070190429,0.0,0.3707865168539326,1,2.0,6713.179441067511,75.42898248390462,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 58192)",2,180,0.0239698886871337,90.0,25.0,65,115,0.0239698886871337,0.0,0.3611111111111111,1,2.0,7509.421605975909,83.43801784417677,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 52373)",2,158,0.0045599937438964,79.0,14.0,65,93,0.0045599937438964,0.0,0.4113924050632911,1,2.0,34649.1703440343,438.5970929624595,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 51910)",2,146,0.0254981517791748,73.0,8.0,65,81,0.0254981517791748,0.0,0.4452054794520548,1,2.0,5725.905205382105,78.43705760797404,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 49343)",13,1735,14.525611162185667,133.46153846153845,77.55753733605223,57,245,1.2104675968488057,2.1074487922703136,0.2576368876080692,7,1.8571428571428568,119.44419967104052,0.8949709485438194,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 52042)",16,2354,19.371010065078732,147.125,80.5356093600837,57,255,1.291400671005249,2.244127676664766,0.2310960067969413,8,2.0,121.52179943593625,0.8259765467183431,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51823, '23.100.109.78', 443)",42,21804,62.25744414329529,519.1428571428571,916.4976702599068,40,5140,1.518474247397446,9.40220937872324,0.5284810126582279,8,5.25,350.2231789312563,0.6746181212214624,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51824, '40.74.78.229', 443)",22,12137,60.90160894393921,551.6818181818181,1586.8512958446886,40,7690,2.9000766163780574,12.773228111199955,0.247095657905578,6,3.6666666666666665,199.2886593714179,0.3612384037382544,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 64409)",2,171,0.0545401573181152,85.5,22.5,63,108,0.0545401573181152,0.0,0.3684210526315789,1,2.0,3135.304487711905,36.67022792645504,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 54938)",2,154,0.0541861057281494,77.0,14.0,63,91,0.0541861057281494,0.0,0.4090909090909091,1,2.0,2842.056979931624,36.90983090820291,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 56170)",2,158,0.0071101188659667,79.0,16.0,63,95,0.0071101188659667,0.0,0.3987341772151899,1,2.0,22221.85071423781,281.28924954731406,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 55668, '40.126.17.135', 443)",1,40,1e-09,40.0,0.0,40,40,0.0,0.0,1.0,1,1.0,40000000000.0,1000000000.0,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51825, '52.178.17.233', 443)",19,13542,2.004667997360229,712.7368421052631,1164.214975721963,40,5140,0.1113704442977905,0.2969848816976576,0.4679515581154925,5,3.8,6755.233294406987,9.477878643755188,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51826, '4.145.11.36', 443)",30,15511,0.7458438873291016,517.0333333333333,967.0738504489832,40,5140,0.0257187547354862,0.0381090384487495,0.3405325253046225,3,10.0,20796.577224150144,40.22289450870378,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51827, '4.145.11.36', 443)",25,12958,92.97477102279665,518.32,905.075896044083,40,3865,3.873948792616526,18.462258611844337,0.2478005865102639,3,8.333333333333334,139.37114184258445,0.2688901486390346,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 55669, '40.74.78.229', 443)",1,40,1e-09,40.0,0.0,40,40,0.0,0.0,1.0,1,1.0,40000000000.0,1000000000.0,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 60348, '52.168.117.170', 443)",3,120,0.3488271236419678,40.0,0.0,40,40,0.1744135618209839,0.1743465662002563,0.6666666666666666,2,1.5,344.0099460934312,8.60024865233578,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 63137)",3,413,1.1773159503936768,137.66666666666666,85.79562278396776,77,259,0.5886579751968384,0.5462759733200073,0.3728813559322034,2,1.5,350.7979313980236,2.548168993205983,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51830, '23.12.193.69', 443)",35,15417,108.51397919654846,440.4857142857143,865.4679451496934,40,3865,3.191587623427896,18.199160395725407,0.1404293961211649,6,5.833333333333333,142.073861028316,0.322539089056954,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51831, '51.11.168.232', 443)",24,7049,2.067060947418213,293.7083333333333,452.3876913266859,40,1315,0.0898722151051397,0.1523847675733581,0.3227408142999007,7,3.4285714285714284,3410.155858637984,11.61068812701257,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51832, '51.11.168.232', 443)",25,6066,1.8139219284057615,242.64,397.44885255841416,40,1315,0.07558008035024,0.1468796465859843,0.2144741180349489,6,4.166666666666667,3344.13510582087,13.782291072456603,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 57012)",2,206,0.6071069240570068,103.0,41.0,62,144,0.6071069240570068,0.0,0.3009708737864077,2,1.0,339.3141995867877,3.2943126173474537,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 51207)",2,189,0.6069118976593018,94.5,32.5,62,127,0.6069118976593018,0.0,0.328042328042328,2,1.0,311.4125801931431,3.29537121897506,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 54623)",2,177,0.6062510013580322,88.5,26.5,62,115,0.6062510013580322,0.0,0.3502824858757062,2,1.0,291.9582806519268,3.298963623185613,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 59071)",2,207,0.6060938835144043,103.5,28.5,75,132,0.6060938835144043,0.0,0.3623188405797101,2,1.0,341.53124727100214,3.299818814212581,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 49666)",2,189,0.6059410572052002,94.5,32.5,62,127,0.6059410572052002,0.0,0.328042328042328,2,1.0,311.9115262988289,3.30065107194528,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 65193)",2,177,0.6058220863342285,88.5,26.5,62,115,0.6058220863342285,0.0,0.3502824858757062,2,1.0,292.1649837347629,3.3012992512402586,chatgpt_001.pcap,chatgpt
